T,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,Rw1,Rw2,Rw3,Rw4,Rw5,LY1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.7463768115942029,0.7934662236987818,0.42296918767507,0.760108592818066,0.7072908036454019,0.8811475409836065,0.5842328042328042,0.47916666666666663,0.6256313131313131,0.610105838170024,0.6611611611611612,0.6510903426791277,0.9451219512195121,0.664056304520222,1.0,0.7742718090301981
4,0.8913043478260869,0.9047619047619048,0.6985294117647058,0.7559540948541812,0.940016570008285,0.8875,0.86,0.23088972431077695,0.7698232323232324,0.6935814271082281,0.7373623623623624,0.33529035865484463,0.7684774575018478,0.9182692307692308,0.48303571428571423,0.7972196087577023
6,0.9130434782608696,0.8895348837209303,0.6127450980392157,0.814569536423841,0.7676056338028169,0.7201502732240437,0.762010582010582,0.0008928571428571427,0.7866161616161617,1.0,0.5629379379379379,0.09721223739915329,0.746920423749692,0.9354183187946075,0.3188186813186813,0.8334513490455134
8,0.7681159420289856,0.7724252491694352,0.7857142857142857,0.984472049689441,0.9941176470588236,0.7058060109289617,0.7925925925925925,0.0014481516290726817,1.0,0.7855923523386821,1.0,0.0,0.7111973392461197,0.9845360824742269,0.03913461538461538,0.7488455307936107
10,0.32608695652173914,0.46594684385382057,0.41701680672268904,0.7894985808893094,0.21027340513670256,0.21024590163934426,0.34052910052910057,0.009471021303258144,0.4698232323232323,0.4477210652099693,0.3447197197197197,0.0003418803418803419,0.3189209164818921,0.5760804916732751,0.016270604395604394,0.5147080791599522
12,0.16666666666666669,0.46677740863787376,0.6341036414565826,0.37446012093291103,0.3324772162386081,0.11939890710382514,0.4077248677248677,0.0017457706766917293,0.4215909090909091,0.39326561966541485,0.26326326326326327,0.0012924354980429747,0.3940009854644001,0.3627577319587629,0.00492445054945055,0.382140654428422
14,0.08115942028985507,0.34357696566998897,0.3583683473389356,0.21586935954917527,0.21583264291632143,0.08668032786885246,0.23142857142857143,0.003929981203007519,0.3733585858585859,0.27590474564697853,0.08395895895895897,0.00247008547008547,0.1287262872628726,0.10958564631245044,0.0011820054945054946,0.1738527254891723
16,0.04057971014492753,0.21926910299003322,0.1990546218487395,0.16330056353091194,0.05942833471416735,0.03887978142076503,0.13925925925925925,0.007513157894736842,0.15227272727272728,0.2155599180607716,0.0472972972972973,0.002852823707963895,0.1459719142645972,0.06458168120539254,0.006686126373626374,0.07611394031928649
18,0.0028985507246376808,0.04036544850498339,0.04534313725490196,0.022666694089095468,0.0264208782104391,0.011919398907103826,0.010264550264550264,0.004599624060150376,0.05353535353535353,0.08957835438716286,0.025375375375375372,0.004002236600367442,0.06303892584380388,0.031259912767644726,0.011963530219780218,0.02755854337876713
20,0.0007246376811594202,0.0244047619047619,0.03009453781512605,0.01353708197935091,0.00424109362054681,0.008265027322404372,0.010328042328042328,0.0027932330827067668,0.035454545454545454,0.08969358142710822,0.017154654654654655,0.004754812684719226,0.04271372259177137,0.03720261697065821,0.014598282967032968,0.013045692306994747
22,0.002971014492753623,0.01408361018826135,0.015493697478991597,0.008010777014520177,0.0058715824357912175,0.007532786885245901,0.008394708994708995,0.0015830200501253133,0.024368686868686866,0.016733526800955956,0.0056831831831831835,0.0026636712197459864,0.03276669130327667,0.02088620142743854,0.02334320054945055,0.004979222118659481
24,0.004521739130434782,0.009333333333333332,0.0058823529411764705,0.006551972358191766,0.004347141673570837,0.006359972677595628,0.009210582010582011,0.0026201441102756892,0.01737373737373737,0.003337316490269716,0.0023523523523523524,0.0013657240993689593,0.02599162355259916,0.013808485329103884,0.015814972527472528,0.0060970932363183725
26,0.0037971014492753623,0.0029817275747508307,0.005182072829131652,0.006247789066677636,0.005137531068765534,0.004792349726775957,0.008586243386243387,0.0015692355889724311,0.015883838383838382,0.0039377773984294985,0.0009146646646646646,0.0007431903506669862,0.016740576496674056,0.010614591593973037,0.012383241758241759,0.005738804721412419
28,0.0053115942028985515,0.0021353820598006643,0.003918067226890756,0.005241865822055859,0.0056205468102734045,0.004289617486338798,0.008172486772486772,0.0012037907268170427,0.014356060606060605,0.0043786275179242065,0.0007053303303303304,0.0010661794073009026,0.00953929539295393,0.009092981760507534,0.012231456043956044,0.0038987862429362605
30,0.005905797101449275,0.003616279069767442,0.0048004201680672265,0.011082020484554318,0.008536454018227009,0.0057814207650273225,0.008165079365079365,0.0010465225563909774,0.017689393939393935,0.004927876408330489,0.0006800550550550551,0.0015768032590462496,0.009204853412170486,0.007955987311657415,0.012679326923076923,0.004496925216006518
34,0.003768115942028986,0.006550387596899225,0.0008088235294117647,0.0077667722430175634,0.004962303231151616,0.00471448087431694,0.00497989417989418,0.000543703007518797,0.009751262626262625,0.012223924547627177,0.002359234234234234,0.002404744787922358,0.005145971914264597,0.004716494845360825,0.006997596153846154,0.0028446286990563238
36,0.006376811594202898,0.003169988925802879,0.003785014005602241,0.004898646703138497,0.005872410936205468,0.005117486338797814,0.0037322751322751324,0.0011485275689223058,0.0066022727272727275,0.005615312393308296,0.0027643893893893896,0.0017467050083872513,0.004057033752155703,0.0033118556701030926,0.005377953296703297,0.0019395639461507678
38,0.004297101449275363,0.00992248062015504,0.003415441176470588,0.003258956850808276,0.0047638773819386904,0.004915300546448087,0.0026857142857142856,0.0011095394736842104,0.004684343434343435,0.0065851826561966545,0.0017850350350350351,0.0010216470964134515,0.0022884947031288497,0.0033941316415543217,0.003649107142857143,0.0015889298054187746
