T,5w1.1,5w1.2,5w2.1,5w2.2,5w3.1,5w3.2,5w4.1,5w4.2,5w5.1,5w5.2,2w1.1,2w1.2,2w2.1,2w2.2,2w3.1,2w3.2,2w4.1,2w4.2,2w5.1,2w5.2,LY1.1,LY1.2,LY1.3,LY1.5,LY1.6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8113207547169812,0.65,0.7209302325581395,0.9782608695652174,1.1372549019607843,1.725,0.9156626506024096,1.2432432432432432,0.38461538461538464,0.8,0.9882352941176471,0.6721311475409836,1.1914893617021276,0.5806451612903226,0.40476190476190477,0.26229508196721313,1.0333333333333334,1.6865671641791045,0.5058823529411764,1.463768115942029,0.5561797752808989,1.3962264150943395,1.0425531914893618,1.0344827586206897,1.2625
4,1.0754716981132075,0.85,0.3023255813953488,0.41304347826086957,1.0294117647058822,2.05,2.0,1.162162162162162,0.5384615384615384,0.76,0.10588235294117647,0.7213114754098361,0.8936170212765957,0.5806451612903226,0.0,0.0,1.4,1.7761194029850746,0.3058823529411765,0.37681159420289856,0.6685393258426966,2.2641509433962264,1.5106382978723405,1.2413793103448276,1.625
6,0.05660377358490566,0.1,0.06976744186046512,0.06521739130434782,0.30392156862745096,0.725,0.5542168674698795,0.6486486486486487,0.010256410256410255,0.003999999999999999,0.0,0.09836065573770492,0.44680851063829785,0.12903225806451613,0.0,0.0,1.0833333333333333,1.4179104477611941,0.10588235294117647,0.21739130434782608,0.5337078651685393,2.056603773584906,1.2659574468085106,1.0229885057471264,1.0125
8,0.0,0.025,0.0,0.021739130434782608,0.06862745098039216,0.075,0.27710843373493976,0.16216216216216217,0.028205128205128206,0.024,0.018823529411764704,0.11475409836065574,0.09574468085106383,0.06451612903225806,0.0,0.0,0.5666666666666667,0.40298507462686567,0.01647058823529412,0.026086956521739126,0.15168539325842698,0.7169811320754716,0.35106382978723405,0.2413793103448276,0.3625
10,0.003773584905660377,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.013513513513513514,0.0020512820512820513,0.00128,0.0017647058823529412,0.014754098360655736,0.0,0.008064516129032258,0.0,0.0,0.05,0.029850746268656716,0.0,0.0,0.016853932584269662,0.03773584905660377,0.10638297872340426,0.011494252873563218,0.0
12,0.0003773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002564102564102564,0.0,0.00023529411764705883,0.0016393442622950817,0.004255319148936169,0.016129032258064516,0.0,0.0,0.03333333333333333,0.0,0.0,0.00014492753623188405,0.0005617977528089887,0.0,0.0,0.0,0.0
14,1.8867924528301888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564102564102564e-05,8e-05,0.00015294117647058822,0.00045901639344262296,0.0006382978723404255,1.6129032258064517e-05,0.0,0.0,0.00016666666666666666,0.00014925373134328358,1.1764705882352942e-05,2.898550724637681e-05,0.0,0.0,0.0,0.0,0.0
16,1.8867924528301887e-06,0.0,0.0,0.0,1.9607843137254903e-05,2.5e-05,0.0,0.0,5.128205128205128e-06,0.0,1.8823529411764704e-05,4.9180327868852456e-05,0.0005425531914893617,0.0,0.0,0.0,0.0,0.0,1.176470588235294e-06,4.347826086956521e-06,0.0,0.0,0.0,0.0,0.0
