Evolution,Assay,A,umax,Lhr,e0,e0_0c,W,History,trts,mubar,yield,e0.rel.0c,e0.rel,ancval,mean
DR-evolved,Dietary restriction (DR),2.4554,0.3045,1.6443075,10.29242752,8.918927536,1.36677985,Home,DEDA,0.112121104,616266622,0.918140135,0.702006861,14.66143438,Mean
DR-evolved,Dietary restriction (DR),2.638825,0.2415,0,12.678902,10.90535825,1.302590201,Home,DEDA,0.091698042,707933523.7,1.123036262,0.864779098,14.66143438,Mean
DR-evolved,Dietary restriction (DR),2.30865,0.3015,0.60776125,22.31482313,9.478431372,1.128215551,Home,DEDA,0.105502689,636079710,0.974231011,1.522008185,14.66143438,Mean
DR-evolved,Dietary restriction (DR),2.352725,0.2655,0.760589583,16.3721116,10.8631422,1.261939195,Home,DEDA,0.092054397,827165814.3,1.117941337,1.116678708,14.66143438,Mean
DR-evolved,Dietary restriction (DR),2.0805,0.2805,0.539849167,15.30428414,9.574434964,1.557004569,Home,DEDA,0.104444806,723391525.2,0.985639483,1.043846307,14.66143438,Mean
NR-evolved,Dietary restriction (DR),1.814775,0.312,0.936360556,12.50583006,8.397498634,1.184216039,Away,YEDA,0.11908308,683584641.3,0.864698654,0.852974527,14.66143438,Mean
NR-evolved,Dietary restriction (DR),1.804725,0.285,1.467494167,15.63413051,9.36179894,1.097379796,Away,YEDA,0.106817077,638549208.2,0.962958703,1.066343859,14.66143438,Mean
NR-evolved,Dietary restriction (DR),1.5992,0.2805,2.121262917,2.506549342,2.500945804,1.070163256,Away,YEDA,0.399848729,976894495.4,0.257198481,0.170962082,14.66143438,Mean
NR-evolved,Dietary restriction (DR),1.97355,0.297,1.512818333,16.32872296,10.55555555,1.163135371,Away,YEDA,0.094736842,809452095.3,1.087429092,1.113719336,14.66143438,Mean
NR-evolved,Dietary restriction (DR),2.426575,0.225,1.830144167,16.93369642,10.26863605,1.18613838,Away,YEDA,0.097383917,819423965.8,1.058683105,1.154982246,14.66143438,Mean
DR-evolved,Non-restricted (NR),2.46245,0.282,0.004914167,4.572567925,4.39113282,1.436864233,Away,DEYA,0.227731668,17916296.3,0.699939177,0.545349366,8.384658075,Mean
DR-evolved,Non-restricted (NR),2.638925,0.2835,0.129622083,3.571284125,4.237341292,1.379644094,Away,DEYA,0.235997039,10444814.81,0.675425066,0.425930804,8.384658075,Mean
DR-evolved,Non-restricted (NR),2.5674,0.3465,0.188984167,8.114260294,4.551677489,1.397950724,Away,DEYA,0.219699221,21494814.81,0.725529727,0.967750896,8.384658075,Mean
DR-evolved,Non-restricted (NR),2.40675,0.348,0.254355417,8.000814067,5.571225086,1.346756053,Away,DEYA,0.179493735,24449259.26,0.888043897,0.954220681,8.384658075,Mean
DR-evolved,Non-restricted (NR),2.185225,0.2685,0.649691667,3.553236923,4.080453021,1.523229248,Away,DEYA,0.245070828,14125925.93,0.65041734,0.423778397,8.384658075,Mean
NR-evolved,Non-restricted (NR),2.037225,0.291,1.3440475,3.738571958,3.630613464,1.732411724,Home,YEYA,0.275435546,24256296.3,0.578713672,0.445882463,8.384658075,Mean
NR-evolved,Non-restricted (NR),2.06935,0.276,1.553157917,5.012144132,4.031855568,1.507395763,Home,YEYA,0.248024758,22691481.48,0.642670988,0.59777562,8.384658075,Mean
NR-evolved,Non-restricted (NR),2.1133,0.249,1.182638333,1.667056987,3.702256335,1.491482138,Home,YEYA,0.270105554,24074814.81,0.590133425,0.1988223,8.384658075,Mean
NR-evolved,Non-restricted (NR),2.227875,0.2595,1.117629167,10.48041542,3.244122141,1.537137116,Home,YEYA,0.3082498,23170740.74,0.517107606,1.24995145,8.384658075,Mean
NR-evolved,Non-restricted (NR),2.36515,0.2505,0.26985875,4.01836682,3.941792269,1.590974924,Home,YEYA,0.253691705,26610000,0.62831505,0.479252323,8.384658075,Mean
