Evolution,Assay,A,umax,L,L_0
dre,dra,1.809233333,0.005066667,16.09326667,16.09326667
dre,dra,2.204433333,0.0044,-27.387,0
dre,dra,1.997233333,0.004,12.27723333,12.27723333
dre,dra,2.0683,0.004233333,-25.6913,0
dre,dra,1.640733333,0.005466667,418.5940667,418.5940667
ypde,dra,1.643933333,0.004366667,55.49036667,55.49036667
ypde,dra,1.237566667,0.004033333,106.8065333,106.8065333
ypde,dra,1.203,0.0041,109.58915,109.58915
ypde,dra,1.6901,0.004433333,82.1051,82.1051
ypde,dra,1.667266667,0.0037,153.0100667,153.0100667
dre,ypda,2.0257,0.004333333,62.80233333,62.80233333
dre,ypda,1.9628,0.004233333,6.913666667,6.913666667
dre,ypda,3.145033333,0.004633333,-209.9456333,0
dre,ypda,3.804866667,0.007566667,-173.9807333,0
dre,ypda,2.317233333,0.003666667,91.63586667,91.63586667
ypde,ypda,1.932066667,0.004666667,92.75733333,92.75733333
ypde,ypda,1.9225,0.004533333,109.7264667,109.7264667
ypde,ypda,2.102966667,0.004033333,138.9961667,138.9961667
ypde,ypda,2.352033333,0.004066667,-36.93146667,0
ypde,ypda,2.12,0.004566667,48.2534,48.2534
LY,dra,1.8984,0.005266667,48.26893333,48.26893333
LY,ypda,2.814,0.0041,-86.69553333,0
