R-W,R-s,20-W,20-s,5-W,5-s,LY1,LY1 sir2D::kanMX,,R-W_B,R-s_B,20-W_B,20-s_B,5-W_B,5-s_B
0.0038,0.0039,0.0042,0.0035,0.004,0.0039,0.006,0.0047,,0.004066667,0.004,0.004333333,0.003366667,0.0042,0.003633333
0.0041,0.0041,0.0043,0.0034,0.0039,0.0041,0.0029,0.0045,,,,,,,
0.0043,0.004,0.0045,0.0032,0.0047,0.0029,0.0031,0.0047,,,,,,,
0.0052,0.0045,0.0038,0.0039,,0.0032,,,,0.004733333,0.0044,0.004,0.003833333,0.00385,0.0068
0.0044,0.0045,0.0043,0.0038,0.0042,0.0095,,,,,,,,,
0.0046,0.0042,0.0039,0.0038,0.0035,0.0077,,,,,,,,,
0.0033,0.0044,0.0037,0.0037,,0.0057,,,,0.003533333,0.0043,0.00405,0.003833333,0.0059,0.004866667
0.0036,0.0043,,0.0037,0.006,0.0039,,,,,,,,,
0.0037,0.0042,0.0044,0.0041,0.0058,0.005,,,,,,,,,
0.0045,0.0045,0.0039,0.0042,0.0039,0.0038,,,,0.004533333,0.0045,0.0042,0.003833333,0.004166667,0.003966667
0.0046,0.0046,0.0043,0.0036,0.0041,0.0039,,,,,,,,,
0.0045,0.0044,0.0044,0.0037,0.0045,0.0042,,,,,,,,,
0.0044,0.0044,0.0041,0.0047,0.0037,0.0052,,,,0.004633333,0.004466667,0.004333333,0.0047,0.0044,0.004666667
0.0045,0.0048,0.0043,0.0047,,0.0044,,,,,,,,,
0.005,0.0042,0.0046,0.0047,0.0051,0.0044,,,,,,,,,
