Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-0.1327,2.3626,0.0054,-8.3918,-3.5796,0.0053,0.0055,0.0053,0.0055
A2,-0.4431,2.7342,0.0046,-96.8862,-3.601,0.0045,0.0047,0.0045,0.0047
A3,-0.094,2.3219,0.0048,1.1794,-3.7784,0.0047,0.0049,0.0047,0.0049
A4,-0.1121,2.4311,0.004,-13.8876,-3.7407,0.0039,0.0041,0.0039,0.0041
A5,-0.8758,3.1394,0.0052,-174.1153,-3.6831,0.005,0.0056,0.0051,0.0054
A6,-0.3444,2.6194,0.0044,-86.5756,-3.7326,0.0043,0.0045,0.0043,0.0045
A7,-0.3379,2.5822,0.0043,-79.9864,-3.6522,0.0042,0.0044,0.0042,0.0044
A8,0.0143,2.2147,0.005,31.1093,-4.3218,0.0049,0.0051,0.0049,0.005
B1,0.0357,2.2252,0.0053,45.3562,-4.3001,0.0052,0.0053,0.0052,0.0053
B2,-0.6652,2.9561,0.0068,-101.6928,-3.442,0.0065,0.0073,0.0066,0.007
B3,-0.557,2.8506,0.006,-97.9164,-3.7856,0.0058,0.0062,0.0059,0.0061
B4,-0.1005,2.2377,0.005,-14.4254,-4.364,0.005,0.0051,0.005,0.0051
B5,-0.1051,2.3828,0.0046,-12.1776,-3.9171,0.0045,0.0046,0.0045,0.0046
B6,0.0706,2.0574,0.0047,58.624,-4.8392,0.0047,0.0047,0.0047,0.0047
B7,-0.6045,2.8888,0.0057,-110.9751,-3.7689,0.0055,0.0059,0.0055,0.0058
B8,-0.022,2.298,0.0082,2.4213,-3.954,0.0081,0.0084,0.0081,0.0084
C1,0.0463,2.19,0.0042,67.222,-4.2718,0.0041,0.0042,0.0041,0.0042
C2,-0.0957,2.361,0.0046,-5.9916,-4.0982,0.0045,0.0046,0.0045,0.0046
C3,0.053,2.1019,0.0045,45.9333,-4.9236,0.0045,0.0045,0.0045,0.0045
C4,0.0419,2.088,0.0046,42.7707,-4.7082,0.0045,0.0046,0.0046,0.0046
C5,-0.0115,2.1337,0.0043,29.3928,-5.1158,0.0042,0.0043,0.0042,0.0043
C6,-0.0549,2.1855,0.0046,15.111,-4.6618,0.0045,0.0046,0.0045,0.0046
C7,0.0589,2.0869,0.0045,77.4822,-5.6104,0.0045,0.0045,0.0045,0.0045
C8,0.1858,1.6983,0.0049,164.66,-2.7189,0.0046,0.0053,0.0047,0.0051
D5,0.1136,2.0686,0.0049,63.1587,-4.1992,0.0049,0.005,0.0049,0.005
D6,0.1648,1.9248,0.005,84.884,-4.0996,0.005,0.0051,0.005,0.0051
D7,0.1399,1.9944,0.0048,96.8208,-4.1453,0.0047,0.0049,0.0048,0.0049
D8,0.0828,2.1611,0.0047,77.7079,-4.564,0.0047,0.0048,0.0047,0.0048
E1,0.0841,2.1648,0.0044,82.8675,-4.2997,0.0044,0.0044,0.0044,0.0044
E2,0.1168,2.0618,0.0047,77.6837,-4.197,0.0047,0.0048,0.0047,0.0048
E3,0.1423,2.0284,0.0046,92.9285,-3.9795,0.0045,0.0047,0.0045,0.0046
E4,0.1328,2.0224,0.0047,119.2782,-4.1152,0.0046,0.0048,0.0047,0.0048
E5,0.1349,1.972,0.0043,112.4032,-4.3591,0.0043,0.0044,0.0043,0.0044
E6,0.1418,1.9843,0.0045,91.4339,-4.1026,0.0044,0.0045,0.0044,0.0045
E7,0.0809,2.1149,0.0041,64.0267,-4.2367,0.0041,0.0042,0.0041,0.0042
E8,-0.0298,2.382,0.0037,15.9694,-3.6876,0.0036,0.0038,0.0036,0.0037
F1,0.046,2.2644,0.0043,95.9789,-3.7753,0.0042,0.0044,0.0043,0.0044
F2,0.0606,2.2104,0.0043,64.9261,-4.1264,0.0042,0.0044,0.0043,0.0043
F3,0.0661,2.158,0.0045,79.0571,-4.145,0.0045,0.0046,0.0045,0.0046
F4,-0.008,2.2787,0.0042,28.2689,-3.7433,0.0042,0.0043,0.0042,0.0043
F5,0.0466,2.2532,0.0043,58.6304,-4.1877,0.0043,0.0044,0.0043,0.0044
F6,-0.0764,2.312,0.0049,6.1357,-3.7263,0.0048,0.005,0.0048,0.005
F7,-0.2319,2.5167,0.0035,-43.4584,-3.1768,0.0034,0.0036,0.0034,0.0036
F8,-0.1753,2.3787,0.004,-21.8525,-2.4431,0.0036,0.0043,0.0037,0.0042
